iter	MAE
0	2.97519289
1	2.873592576
2	2.782656731
3	2.695039644
4	2.610104569
5	2.536595026
6	2.472696681
7	2.407215382
8	2.339726547
9	2.277707125
10	2.220000053
11	2.163808282
12	2.112360576
13	2.068195908
14	2.028014598
15	1.986062743
16	1.952500714
17	1.915512659
18	1.882108042
19	1.852588934
20	1.824133151
21	1.796476172
22	1.773338956
23	1.752432952
24	1.729016442
25	1.713672802
26	1.694049477
27	1.674822976
28	1.661726158
29	1.648382341
30	1.634662262
31	1.62166872
32	1.608823048
33	1.598576031
34	1.589066007
35	1.577617198
36	1.568797405
37	1.558879546
38	1.549631199
39	1.542286207
40	1.533081975
41	1.525361632
42	1.518918687
43	1.510285555
44	1.503906347
45	1.498290644
46	1.492406973
47	1.487378468
48	1.481958394
49	1.476852153
50	1.473212769
51	1.468053871
52	1.463821574
53	1.460549666
54	1.455995231
55	1.452063947
56	1.448369949
57	1.445785832
58	1.443775757
59	1.441237215
60	1.43782867
61	1.43473356
62	1.432557823
63	1.429957794
64	1.427860975
65	1.42666942
66	1.425074785
67	1.422809735
68	1.421079086
69	1.419150449
70	1.417302841
71	1.415747468
72	1.414959502
73	1.413853884
74	1.412384313
75	1.411467639
76	1.410600595
77	1.408993764
78	1.408002943
79	1.407309547
80	1.405872493
81	1.405105429
82	1.404493687
83	1.403957722
84	1.402861836
85	1.402273421
86	1.401195755
87	1.400531833
88	1.398932877
89	1.397763826
90	1.396877874
91	1.395597411
92	1.395043642
93	1.394184039
94	1.392818863
95	1.391990099
96	1.39131888
97	1.390992067
98	1.390327559
99	1.389999841
100	1.389421672
101	1.389037344
102	1.388652975
103	1.387995902
104	1.387766362
105	1.386755265
106	1.386295907
107	1.385648953
108	1.385155119
109	1.384794886
110	1.383976607
111	1.383242066
112	1.3828192
113	1.382509739
114	1.381807221
115	1.381222436
116	1.380468364
117	1.380016878
118	1.379794243
119	1.37923914
120	1.378765016
121	1.378287175
122	1.378036908
123	1.377655586
124	1.377547261
125	1.377203867
126	1.377102081
127	1.37670363
128	1.376503256
129	1.376200632
130	1.375956975
131	1.375531249
132	1.375403633
133	1.374895505
134	1.374354841
135	1.373777028
136	1.373706869
137	1.373584698
138	1.373094761
139	1.372898175
140	1.372389292
141	1.372355899
142	1.372079088
143	1.371924864
144	1.371540017
145	1.370980014
146	1.370761187
147	1.370499729
148	1.370294735
149	1.370260436
150	1.370218966
151	1.37016162
152	1.369873965
153	1.369415794
154	1.369284158
155	1.368839057
156	1.368340385
157	1.368110367
158	1.367860661
159	1.367805962
160	1.367584021
161	1.36724529
162	1.367167205
163	1.366801685
164	1.366779399
165	1.366498421
166	1.366430565
167	1.366078441
168	1.365935376
169	1.365719631
170	1.365639705
171	1.365463968
172	1.365396485
173	1.365089603
174	1.364618664
175	1.364556725
176	1.364311602
177	1.364019411
178	1.363800925
179	1.363605196
180	1.363502685
181	1.363469079
182	1.363341257
183	1.362877326
184	1.362437742
185	1.362125989
186	1.362044451
187	1.361932295
188	1.361720217
189	1.36147205
190	1.361369403
191	1.361240158
192	1.361156394
193	1.360997364
194	1.36093982
195	1.360783654
196	1.360675648
197	1.360631722
198	1.360357706
199	1.360226871
200	1.359947258
201	1.359911441
202	1.359790049
203	1.359631366
204	1.359518377
205	1.359323753
206	1.359203239
207	1.359188751
208	1.359055893
209	1.358936788
210	1.358911075
211	1.358831783
212	1.358763508
213	1.358640377
214	1.358593438
215	1.358548332
216	1.358485299
217	1.358419533
218	1.35814591
219	1.358128869
220	1.358035223
221	1.357670633
222	1.357387691
223	1.357384434
224	1.35721261
225	1.357146351
226	1.357081188
227	1.356624535
228	1.356412612
229	1.356407228
230	1.356322752
231	1.356255287
232	1.356068737
233	1.356032922
234	1.35597283
235	1.355939172
236	1.355812597
237	1.355516075
238	1.355494778
239	1.355167915
240	1.355044735
241	1.354573772
242	1.354522632
243	1.354436421
244	1.35436194
245	1.354138478
246	1.354118121
247	1.353834721
248	1.353770129
249	1.353371926
250	1.353322805
251	1.353297906
252	1.35324676
253	1.353186813
254	1.352895455
255	1.352866111
256	1.352539375
257	1.352385709
258	1.352302199
259	1.3521641
260	1.352106015
261	1.352073552
262	1.352052658
263	1.351966809
264	1.351913508
265	1.351864274
266	1.351716789
267	1.351691778
268	1.351527921
269	1.351412911
270	1.351307856
271	1.351208024
272	1.351189303
273	1.351031481
274	1.350908321
275	1.350662739
276	1.350482412
277	1.350265693
278	1.350140154
279	1.349959321
280	1.349786401
281	1.349662267
282	1.349615675
283	1.349530963
284	1.349380506
285	1.349363816
286	1.349132434
287	1.349036544
288	1.348878019
289	1.348766129
290	1.348702914
291	1.348551544
292	1.348260237
293	1.348136497
294	1.348019988
295	1.347968888
296	1.347822873
297	1.347582804
298	1.347473934
299	1.347461301
300	1.347242069
301	1.347075034
302	1.347027131
303	1.346899159
304	1.346748588
305	1.346627207
306	1.346488978
307	1.346227891
308	1.346122133
309	1.346093185
310	1.345961431
311	1.345915047
312	1.345767392
313	1.345631867
314	1.345407287
315	1.345276904
316	1.345221325
317	1.344881238
318	1.344823675
319	1.344781435
320	1.344690163
321	1.344397646
322	1.344369003
323	1.344102692
324	1.343992953
325	1.343625377
326	1.343277199
327	1.34318465
328	1.343096518
329	1.343018211
330	1.343008411
331	1.342975478
332	1.342953013
333	1.342864071
334	1.342853187
335	1.342773663
336	1.342491193
337	1.342440324
338	1.342220496
339	1.342125242
340	1.342030115
341	1.341800316
342	1.34173902
343	1.34157071
344	1.341438612
345	1.341342825
346	1.341161116
347	1.341098887
348	1.34104836
349	1.340867637
350	1.340792575
351	1.340671666
352	1.340501444
353	1.340248694
354	1.340234772
355	1.340207871
356	1.340056019
357	1.339964369
358	1.339943681
359	1.339904356
360	1.339813768
361	1.339704528
362	1.339606487
363	1.339565561
