iter	Passed	Remaining
0	707	706394
1	1140	569169
2	1614	536506
3	2042	508504
4	2463	490202
5	2871	475681
6	3289	466654
7	3693	457940
8	4123	454084
9	4518	447342
10	4921	442504
11	5335	439256
12	5713	433799
13	6085	428624
14	6528	428722
15	7021	431841
16	7439	430150
17	7870	429359
18	8470	437333
19	9058	443872
20	9675	451063
21	10381	461521
22	10966	465854
23	11866	482558
24	12688	494844
25	13350	500139
26	14023	505359
27	14636	508102
28	15124	506423
29	15610	504747
30	16158	505078
31	16756	506897
32	17321	507575
33	17808	505972
34	18375	506626
35	18980	508265
36	19488	507236
37	20100	508871
38	20674	509445
39	21167	508011
40	21603	505321
41	22040	502737
42	22599	502959
43	23247	505101
44	23755	504141
45	24263	503206
46	24739	501631
47	25257	500938
48	25884	502362
49	26724	507756
50	27521	512112
51	28309	516101
52	28986	517921
53	29619	518883
54	30153	518084
55	30757	518489
56	31447	520265
57	32063	520751
58	32937	525326
59	33465	524299
60	34038	523975
61	34552	522740
62	35034	521069
63	35504	519247
64	36052	518605
65	36547	517205
66	37012	515409
67	37430	513016
68	37848	510677
69	38254	508235
70	38671	505999
71	39147	504565
72	39575	502556
73	39956	499992
74	40350	497656
75	40770	495686
76	41190	493753
77	41582	491532
78	42003	489685
79	42440	488068
80	42840	486053
81	43236	484042
82	43679	482574
83	44069	480562
84	44485	478876
85	44899	477183
86	45299	475387
87	45723	473866
88	46130	472189
89	46533	470506
90	47002	469509
91	47385	467670
92	47807	466247
93	48214	464707
94	48606	463040
95	49006	461478
96	49465	460484
97	49892	459211
98	50302	457803
99	50719	456477
100	51101	454854
101	51556	453902
102	51944	452371
103	52429	451702
104	52899	450905
105	53310	449619
106	53752	448607
107	54172	447426
108	54623	446508
109	55046	445377
110	55490	444426
111	55889	443125
112	56305	441977
113	56739	440973
114	57222	440361
115	57653	439361
116	58040	438033
117	58463	436988
118	58889	435979
119	59346	435208
120	59748	434037
121	60178	433085
122	60570	431871
123	61012	431025
124	61455	430190
125	61857	429074
126	62260	427978
127	62669	426932
128	63083	425937
129	63519	425089
130	63927	424069
131	64361	423227
132	64782	422304
133	65190	421307
134	65617	420438
135	66025	419459
136	66463	418671
137	66973	418341
138	67516	418210
139	67997	417699
140	68419	416822
141	68906	416349
142	69371	415744
143	69886	415439
144	70304	414553
145	70731	413732
146	71141	412816
147	71600	412185
148	71979	411105
149	72372	410109
150	72795	409296
151	73247	408641
152	73658	407770
153	74065	406878
154	74487	406075
155	74909	405281
156	75321	404432
157	75779	403835
158	76215	403127
159	76654	402437
160	77080	401679
161	77476	400771
162	77872	399873
163	78294	399113
164	78712	398334
165	79168	397750
166	79593	397013
167	80101	396692
168	80504	395853
169	80909	395030
170	81341	394338
171	81764	393612
172	82158	392745
173	82589	392061
174	83018	391370
175	83466	390774
176	83918	390196
177	84329	389433
178	84712	388539
179	85274	388474
180	85662	387611
181	86077	386875
182	86475	386069
183	86879	385293
184	87277	384493
185	87731	383943
186	88136	383179
187	88523	382345
188	88916	381542
189	89325	380807
190	89745	380127
191	90174	379486
192	90622	378924
193	91014	378133
194	91421	377406
195	91809	376605
196	92181	375746
197	92613	375130
198	93024	374435
199	93457	373830
200	93854	373081
201	94268	372405
202	94703	371816
203	95101	371083
204	95521	370438
205	95919	369711
206	96340	369071
207	96870	368853
208	97303	368262
209	97700	367538
210	98117	366893
211	98558	366339
212	98974	365695
213	99374	364993
214	99797	364376
215	100180	363619
216	100594	362974
217	101023	362385
218	101476	361886
219	101857	361132
220	102312	360639
221	102739	360050
222	103159	359439
223	103583	358841
224	103983	358166
225	104425	357632
226	104889	357180
227	105304	356558
228	105702	355881
229	106117	355262
230	106557	354729
231	106984	354155
232	107381	353484
233	107804	352900
234	108210	352260
235	108633	351676
236	109050	351079
237	109436	350379
238	109840	349742
239	110281	349225
240	110681	348578
241	111087	347951
242	111495	347333
243	111882	346651
244	112265	345962
245	112673	345349
246	113056	344660
247	113493	344140
248	113902	343535
249	114306	342920
250	114726	342351
251	115122	341712
252	115529	341109
253	115934	340499
254	116316	339826
255	116722	339225
256	117132	338635
257	117577	338148
258	117981	337545
259	118401	336988
260	118796	336361
261	119209	335789
262	119615	335196
263	120042	334665
264	120455	334094
265	120887	333575
266	121291	332983
267	121690	332379
268	122097	331797
269	122526	331275
270	122928	330681
271	123336	330105
272	123756	329563
273	124191	329060
274	124575	328427
275	125041	328007
276	125402	327314
277	125801	326722
278	126176	326068
279	126595	325532
280	126996	324947
281	127377	324316
282	127772	323720
283	128164	323118
284	128576	322569
285	128993	322033
286	129390	321447
287	129828	320965
288	130213	320351
289	130633	319825
290	131038	319265
291	131427	318667
292	131835	318114
293	132243	317564
294	132619	316938
295	132985	316289
296	133372	315694
297	133799	315190
298	134169	314558
299	134590	314043
300	135095	313726
301	135493	313161
302	135862	312528
303	136191	311805
304	136644	311370
305	137070	310871
306	137475	310327
307	137886	309797
308	138237	309132
309	138626	308555
310	139021	307993
311	139364	307316
312	139751	306738
313	140111	306102
314	140513	305560
315	140935	305062
316	141259	304355
317	141630	303748
318	141983	303105
319	142380	302559
320	142830	302124
321	143226	301576
322	143619	301022
323	144027	300500
324	144423	299956
325	144829	299433
326	145226	298891
327	145650	298406
328	146051	297873
329	146395	297226
330	146698	296498
331	146981	295734
332	147305	295052
333	147711	294537
334	148030	293851
335	148392	293252
336	148741	292627
337	149081	291988
338	149516	291536
339	149865	290915
340	150251	290368
341	150675	289897
342	151058	289345
343	151471	288853
344	151947	288479
345	152344	287956
346	152769	287488
347	153181	286994
348	153659	286624
349	154084	286157
350	154511	285691
351	154922	285197
352	155352	284740
353	155744	284211
354	156134	283680
355	156505	283117
356	156863	282530
357	157295	282077
358	157706	281588
359	158130	281121
360	158518	280591
